Date,Humidity,Temperature
2021/8/19 0:0:4,31.60,24.00
2021/8/19 0:0:9,31.60,23.90
2021/8/19 0:0:14,31.70,23.90
2021/8/19 0:0:19,31.80,23.90
2021/8/19 0:0:24,31.80,23.90
2021/8/19 0:0:29,31.80,23.80
2021/8/19 0:0:34,31.90,23.80
2021/8/19 0:0:39,32.00,23.80
2021/8/19 0:0:44,32.10,23.90
2021/8/19 0:0:49,32.10,23.90
2021/8/19 0:0:55,32.20,23.90
2021/8/19 0:1:0,32.30,23.90
2021/8/19 0:1:5,33.00,23.90
2021/8/19 0:1:10,33.30,23.90
2021/8/19 0:1:15,33.10,24.00
2021/8/19 0:1:20,32.80,24.00
2021/8/19 0:1:25,32.70,24.00
2021/8/19 0:1:30,32.40,24.00
2021/8/19 0:1:35,32.00,24.00
2021/8/19 0:1:40,31.90,24.10
2021/8/19 0:1:45,31.70,24.00
2021/8/19 0:1:50,31.70,24.00
2021/8/19 0:1:56,31.70,24.00
2021/8/19 0:2:1,31.70,24.00
2021/8/19 0:2:6,31.70,23.90
2021/8/19 0:2:11,31.70,23.90
2021/8/19 0:2:16,31.70,23.90
2021/8/19 0:2:21,31.70,23.90
2021/8/19 0:2:26,31.80,23.90
2021/8/19 0:2:31,31.90,23.90
2021/8/19 0:2:36,32.00,23.90
2021/8/19 0:2:41,32.00,23.90
2021/8/19 0:2:46,32.00,23.90
2021/8/19 0:2:51,32.00,23.90
2021/8/19 0:2:57,32.10,23.90
2021/8/19 0:3:2,32.10,23.90
2021/8/19 0:3:7,32.00,23.90
2021/8/19 0:3:12,32.00,24.00
2021/8/19 0:3:17,32.70,24.00
2021/8/19 0:3:22,32.70,24.00
2021/8/19 0:3:27,32.20,24.00
2021/8/19 0:3:32,31.90,24.10
2021/8/19 0:3:37,31.70,24.10
2021/8/19 0:3:42,31.60,24.10
2021/8/19 0:3:47,31.50,24.00
2021/8/19 0:3:52,31.50,24.00
2021/8/19 0:3:58,31.50,24.00
2021/8/19 0:4:3,31.60,24.00
2021/8/19 0:4:8,31.60,23.90
2021/8/19 0:4:13,31.60,24.00
2021/8/19 0:4:18,31.60,23.90
2021/8/19 0:4:23,31.70,23.90
2021/8/19 0:4:28,31.70,23.80
2021/8/19 0:4:33,31.60,23.80
2021/8/19 0:4:38,31.70,23.80
2021/8/19 0:4:43,31.80,23.80
2021/8/19 0:4:48,31.90,23.80
2021/8/19 0:4:53,32.00,23.80
2021/8/19 0:4:59,32.00,23.80
2021/8/19 0:5:4,32.00,23.80
2021/8/19 0:5:9,32.10,23.90
2021/8/19 0:5:14,32.20,23.90
2021/8/19 0:5:19,33.10,23.90
2021/8/19 0:5:24,33.90,23.90
2021/8/19 0:5:29,33.30,23.90
2021/8/19 0:5:34,33.50,23.90
2021/8/19 0:5:39,33.10,24.00
2021/8/19 0:5:44,32.70,24.00
2021/8/19 0:5:49,32.70,24.00
2021/8/19 0:5:55,32.40,24.00
2021/8/19 0:6:0,32.00,24.00
2021/8/19 0:6:5,31.80,24.10
2021/8/19 0:6:10,31.60,24.00
2021/8/19 0:6:15,31.60,24.10
2021/8/19 0:6:20,31.60,24.00
2021/8/19 0:6:25,31.60,24.00
2021/8/19 0:6:30,31.60,24.00
2021/8/19 0:6:35,31.60,23.90
2021/8/19 0:6:40,31.70,23.90
2021/8/19 0:6:45,31.70,23.90
2021/8/19 0:6:51,31.80,23.90
2021/8/19 0:6:56,31.80,23.90
2021/8/19 0:7:1,31.90,23.90
2021/8/19 0:7:6,32.00,23.90
2021/8/19 0:7:11,32.00,23.90
2021/8/19 0:7:16,32.00,23.90
2021/8/19 0:7:21,32.00,23.90
2021/8/19 0:7:26,32.30,23.90
2021/8/19 0:7:31,32.80,23.90
2021/8/19 0:7:36,33.20,24.00
2021/8/19 0:7:42,33.30,24.00
2021/8/19 0:7:47,32.70,24.00
2021/8/19 0:7:52,32.50,24.00
2021/8/19 0:7:57,32.00,24.00
2021/8/19 0:8:2,31.80,24.00
2021/8/19 0:8:7,31.60,24.00
2021/8/19 0:8:12,31.60,24.00
2021/8/19 0:8:17,31.60,24.00
2021/8/19 0:8:22,31.60,23.90
2021/8/19 0:8:27,31.60,23.90
2021/8/19 0:8:32,31.60,23.90
2021/8/19 0:8:38,31.70,23.90
2021/8/19 0:8:43,31.70,23.90
2021/8/19 0:8:48,31.70,23.80
2021/8/19 0:8:53,31.90,23.90
2021/8/19 0:8:58,31.90,23.80
2021/8/19 0:9:3,32.00,23.90
2021/8/19 0:9:8,32.00,23.90
2021/8/19 0:9:13,32.00,23.90
2021/8/19 0:9:18,32.00,23.90
2021/8/19 0:9:23,32.00,23.90
2021/8/19 0:9:28,32.40,23.90
2021/8/19 0:9:34,33.30,24.00
2021/8/19 0:9:39,33.90,24.00
2021/8/19 0:9:44,33.30,24.00
2021/8/19 0:9:49,32.60,24.10
2021/8/19 0:9:54,32.00,24.10
2021/8/19 0:9:59,31.80,24.10
2021/8/19 0:10:4,31.60,24.10
2021/8/19 0:10:9,31.50,24.10
2021/8/19 0:10:14,31.50,24.00
2021/8/19 0:10:19,31.50,24.00
2021/8/19 0:10:25,31.50,24.00
2021/8/19 0:10:30,31.50,23.90
2021/8/19 0:10:35,31.50,23.90
2021/8/19 0:10:40,31.60,23.90
2021/8/19 0:10:45,31.70,23.90
2021/8/19 0:10:50,31.80,23.90
2021/8/19 0:10:55,31.90,23.90
2021/8/19 0:11:0,31.90,23.80
2021/8/19 0:11:5,31.90,23.80
2021/8/19 0:11:10,32.00,23.90
2021/8/19 0:11:15,32.00,23.90
2021/8/19 0:11:20,32.20,23.90
2021/8/19 0:11:26,32.40,23.90
2021/8/19 0:11:31,32.40,23.90
2021/8/19 0:11:36,32.20,23.90
2021/8/19 0:11:41,32.90,24.00
2021/8/19 0:11:46,33.30,24.00
2021/8/19 0:11:51,33.40,24.00
2021/8/19 0:11:56,32.80,24.00
2021/8/19 0:12:1,32.30,24.10
2021/8/19 0:12:6,31.90,24.10
2021/8/19 0:12:11,31.70,24.10
2021/8/19 0:12:16,31.50,24.00
2021/8/19 0:12:21,31.50,24.00
2021/8/19 0:12:27,31.50,24.00
2021/8/19 0:12:32,31.50,24.00
2021/8/19 0:12:37,31.50,23.90
2021/8/19 0:12:42,31.50,23.90
2021/8/19 0:12:47,31.50,23.90
2021/8/19 0:12:52,31.70,23.90
2021/8/19 0:12:57,31.70,23.90
2021/8/19 0:13:2,31.80,23.90
2021/8/19 0:13:7,31.80,23.90
2021/8/19 0:13:12,31.80,23.90
2021/8/19 0:13:17,32.00,23.90
2021/8/19 0:13:22,32.10,23.90
2021/8/19 0:13:28,32.10,23.90
2021/8/19 0:13:33,32.00,24.00
2021/8/19 0:13:38,31.90,23.90
2021/8/19 0:13:43,31.90,24.00
2021/8/19 0:13:48,31.90,24.00
2021/8/19 0:13:53,31.70,24.00
2021/8/19 0:13:58,31.70,24.00
2021/8/19 0:14:3,31.60,24.00
2021/8/19 0:14:8,31.50,24.00
2021/8/19 0:14:13,31.50,24.00
2021/8/19 0:14:18,31.50,23.90
2021/8/19 0:14:23,31.60,23.90
2021/8/19 0:14:29,31.60,23.90
2021/8/19 0:14:34,31.70,23.80
2021/8/19 0:14:39,31.70,23.80
2021/8/19 0:14:44,31.70,23.80
2021/8/19 0:14:49,31.80,23.90
2021/8/19 0:14:54,31.80,23.80
2021/8/19 0:14:59,31.90,23.80
2021/8/19 0:15:4,31.90,23.80
2021/8/19 0:15:9,31.90,23.90
2021/8/19 0:15:14,31.90,23.90
2021/8/19 0:15:19,32.00,23.90
2021/8/19 0:15:24,32.00,23.90
2021/8/19 0:15:30,31.90,23.90
2021/8/19 0:15:35,32.30,24.00
2021/8/19 0:15:40,32.70,24.00
2021/8/19 0:15:45,32.40,24.00
2021/8/19 0:15:50,32.10,24.00
2021/8/19 0:15:55,31.80,24.10
2021/8/19 0:16:0,31.50,24.00
2021/8/19 0:16:5,31.40,24.00
2021/8/19 0:16:10,31.40,24.00
2021/8/19 0:16:15,31.40,24.00
2021/8/19 0:16:20,31.40,24.00
2021/8/19 0:16:25,31.40,23.90
2021/8/19 0:16:31,31.40,23.90
2021/8/19 0:16:36,31.50,23.90
2021/8/19 0:16:41,31.50,23.90
2021/8/19 0:16:46,31.60,23.90
2021/8/19 0:16:51,31.70,23.80
2021/8/19 0:16:56,31.70,23.80
2021/8/19 0:17:1,31.70,23.80
